W(u),W(v),d2,d3,d4,sign
20.0,4.0,2.0,0.22413793103448276,0.05563679409511872,1.0
20.0,30.0,2.0,0.3972602739726027,0.17384667571234735,1.0
20.0,56.0,3.0,0.4909090909090909,0.28377518557794273,1.0
20.0,-8.0,1.0,-0.022222222222222223,0.03256364712847839,1.0
20.0,8.0,0.0,0.18181818181818182,0.07491545360976327,-1.0
20.0,-20.0,1.0,-0.05263157894736842,-0.00658624514697726,1.0
20.0,-36.0,2.0,-0.04918032786885246,-0.08596424496006086,1.0
20.0,-28.0,1.0,-0.08450704225352113,-0.007960199004975124,1.0
20.0,16.0,1.0,0.18518518518518517,0.1305413232345734,1.0
20.0,-4.0,2.0,0.23333333333333334,0.00929962220284801,1.0
20.0,48.0,2.0,0.3870967741935484,0.23954733346886223,1.0
20.0,28.0,-2.0,0.20634920634920634,0.17987623467809116,-1.0
20.0,-34.0,-2.0,-0.25,-0.010638893555070273,-1.0
20.0,-16.0,2.0,0.0,0.012290045063498567,1.0
20.0,-12.0,-2.0,-0.045454545454545456,-0.02910204863105495,-1.0
20.0,-116.0,-2.0,-0.373134328358209,-0.2455043467905204,-1.0
20.0,-12.0,0.0,0.045454545454545456,0.01900658895083629,-1.0
20.0,0.0,-1.0,-0.05263157894736842,0.11171662125340599,-1.0
20.0,0.0,-2.0,0.12931034482758622,0.1088833194096352,-1.0
20.0,28.0,-1.0,0.5238095238095238,0.23498766109130792,-1.0
20.0,4.0,0.0,0.12903225806451613,0.12651515151515152,-1.0
20.0,10.0,-1.0,0.23846153846153847,0.09802820416822663,-1.0
20.0,36.0,2.0,0.44871794871794873,0.2282671272308578,1.0
20.0,16.0,4.0,0.3163265306122449,0.10249330655957162,1.0
20.0,-40.0,-2.0,-0.056451612903225805,-0.07624113475177305,-1.0
20.0,-44.0,-3.0,-0.1,-0.039589627391742196,-1.0
20.0,28.0,-1.0,0.3106060606060606,0.2582495488527971,-1.0
20.0,16.0,-1.0,0.3888888888888889,0.163718820861678,-1.0
20.0,28.0,3.0,0.265625,0.14305874051860998,1.0
20.0,52.0,-1.0,0.4537037037037037,0.31604204753199266,-1.0
20.0,40.0,-1.0,0.16666666666666666,0.16565691535398996,-1.0
20.0,28.0,-2.0,0.2786885245901639,0.19232373800584063,-1.0
20.0,48.0,0.0,0.5540540540540541,0.35492957746478876,-1.0
