Node,Neighbors,Degree,PageRank,CC (directed)
1,"[53, 54, 74, 37, 35, 40, 12]",7,0.004862680445552401,0.14285714285714285
2,"[74, 1, 37, 35]",4,0.004010376830284589,0.25
3,[29],1,0.008457007664692383,0.0
4,[11],1,0.0067650178585177585,0.0
5,[11],1,0.01248595558776405,0.0
6,"[16, 29]",2,0.004010376830284589,1.0
8,"[46, 60, 61, 7]",4,0.004868038917638779,0.16666666666666666
9,"[10, 67]",2,0.00846644177721678,1.0
10,"[9, 29]",2,0.00846644177721678,1.0
11,"[56, 58, 73, 29]",4,0.10674411733089564,0.25
12,"[48, 50, 51, 62, 81, 35, 36, 40, 13, 37]",10,0.00943287788192583,0.07777777777777778
13,"[77, 83, 12, 35, 36, 40]",6,0.007696119573879624,0.2
14,"[52, 63, 12, 13, 63, 28, 29]",7,0.006147554351379347,0.11904761904761904
15,"[38, 79, 39, 11, 29]",5,0.004010376830284589,0.2
16,[29],1,0.005714984060820213,0.0
17,[29],1,0.007419591291355837,0.0
18,[78],1,0.005934394646407809,0.0
19,"[5, 26]",2,0.008762166067943413,1.0
20,"[67, 37, 35]",3,0.004010376830284589,0.5
21,[30],1,0.004010376830284589,0.0
22,"[23, 59, 67]",3,0.004010376830284589,0.5
23,[27],1,0.007334160696945289,0.0
24,"[3, 29]",2,0.005934394646407809,1.0
25,"[36, 62, 54, 29]",4,0.004010376830284589,0.3333333333333333
26,"[34, 45, 11, 70, 80]",5,0.02044111044004094,0.2
27,"[11, 26]",2,0.018039585582669895,1.0
28,"[11, 26, 27, 70, 80, 41]",6,0.009869471064125931,0.16666666666666666
29,"[44, 44]",2,0.07086236165341307,0.0
30,"[39, 66]",2,0.007419591291355837,1.0
32,"[0, 33, 37]",3,0.007133651663350844,0.3333333333333333
33,"[32, 0, 31, 34, 34]",5,0.01839772154607139,0.15
34,[33],1,0.013732364485604286,0.0
35,[81],1,0.026337508075888964,0.0
36,[35],1,0.012130553747767158,0.0
37,"[76, 4, 35, 36, 40]",5,0.016207328743221946,0.25
39,"[37, 38]",2,0.009174655947002727,0.5
40,"[35, 36, 81]",3,0.00924792175220245,0.3333333333333333
41,"[42, 57, 70]",3,0.007116379447512582,0.5
42,"[71, 41, 45]",3,0.006026771643974046,0.5
43,[76],1,0.0055739733152472635,0.0
45,[52],1,0.00919349134894596,0.0
46,"[7, 8, 9, 10, 12]",5,0.0050448878396946294,0.2
47,"[5, 19, 71]",3,0.006827686868688634,0.5
49,"[5, 19, 47, 28]",4,0.006920572980793654,0.3333333333333333
50,[51],1,0.006949458187875686,0.0
52,"[12, 13, 14, 50, 63]",5,0.01257190149400181,0.2
53,[76],1,0.005759644070157844,0.0
54,"[53, 60, 61, 62]",4,0.005453162186227149,0.25
55,[17],1,0.004010376830284589,0.0
56,[11],1,0.026642236190358562,0.0
57,[67],1,0.006026771643974046,0.0
59,"[23, 27]",2,0.005146781650641671,1.0
61,[60],1,0.009103619012666635,0.0
62,"[60, 61]",2,0.006823369781247247,0.5
64,"[5, 19, 47, 49, 70]",5,0.0045785792404631305,0.25
66,"[26, 27, 28, 31, 33, 70, 71, 80, 67]",9,0.007163299508124195,0.09722222222222222
67,"[43, 49, 26, 27, 28, 65, 70, 71, 80, 37]",10,0.01839590072604881,0.08888888888888889
68,"[11, 65, 67, 76]",4,0.005546408077598559,0.25
69,"[65, 67, 68]",3,0.0054208343659627655,0.3333333333333333
70,[11],1,0.015320655451262636,0.0
71,"[11, 26, 27, 28, 70, 80]",6,0.00989268965377071,0.16666666666666666
72,"[5, 19, 47, 49, 64, 27]",6,0.004010376830284589,0.2
73,[11],1,0.026642236190358562,0.0
75,[11],1,0.004010376830284589,0.0
76,"[11, 29]",2,0.020524601219799647,1.0
77,"[69, 29, 76, 82]",4,0.006636926394112163,0.3333333333333333
78,"[3, 24, 29, 18]",4,0.009055602866853736,0.3333333333333333
79,"[37, 39, 81]",3,0.004692219722498839,0.3333333333333333
82,"[29, 76, 77]",3,0.0054208343659627655,0.5
83,"[35, 29]",2,0.005100895146798194,1.0
